s,sLabel,freebaseID
http://www.wikidata.org/entity/Q7919819,Venezuelan Americans,/m/02vys3l
http://www.wikidata.org/entity/Q7901501,Uruguayans,/m/0fpjs3j
http://www.wikidata.org/entity/Q10859771,Iranian Canadians,/m/06vb7b
http://www.wikidata.org/entity/Q12404065,Israeli Americans,/m/04ydrsn
http://www.wikidata.org/entity/Q12644212,Muhajir,/m/09snp5
http://www.wikidata.org/entity/Q19891823,Muhajir diaspora,/m/09snp5
http://www.wikidata.org/entity/Q16839420,Goans,/m/026d074
http://www.wikidata.org/entity/Q17054305,Indo-Guyanese,/m/06w4lv
http://www.wikidata.org/entity/Q161652,Japanese people,/m/019kn7
http://www.wikidata.org/entity/Q31340083,Q31340083,/m/019kn7
http://www.wikidata.org/entity/Q1065371,Italian Brazilians,/m/062_25
http://www.wikidata.org/entity/Q35565,Tatars,/m/0fp4n
http://www.wikidata.org/entity/Q42406,English people,/m/02w7gg
http://www.wikidata.org/entity/Q49542,Russians,/m/0g6ff
http://www.wikidata.org/entity/Q170217,Czechs,/m/013s3n
http://www.wikidata.org/entity/Q173491,Tamil,/m/01rv7x
http://www.wikidata.org/entity/Q164714,Danes,/m/0268_k
http://www.wikidata.org/entity/Q167420,Croats,/m/0j4w_
http://www.wikidata.org/entity/Q181634,Scottish people,/m/03lmx1
http://www.wikidata.org/entity/Q245794,Greek Cypriots,/m/04hlx1
http://www.wikidata.org/entity/Q501837,Mizrahi Jews,/m/033qxt
http://www.wikidata.org/entity/Q484206,Persians,/m/064pj
http://www.wikidata.org/entity/Q483569,Belarusians,/m/09gp4
http://www.wikidata.org/entity/Q581921,Mexican Americans,/m/01g7zj
http://www.wikidata.org/entity/Q727928,Asian Americans,/m/01336l
http://www.wikidata.org/entity/Q726673,Swedish-speaking population of Finland,/m/01d7kx
http://www.wikidata.org/entity/Q968848,Bohemian People,/m/01hm_
http://www.wikidata.org/entity/Q1150312,Greek Americans,/m/038723
http://www.wikidata.org/entity/Q1156766,Japanese Americans,/m/0cn68
http://www.wikidata.org/entity/Q1207351,Chinese Canadians,/m/01mw1s
http://www.wikidata.org/entity/Q1193808,Norwegian Americans,/m/04f581
http://www.wikidata.org/entity/Q1258074,Sindhis,/m/029f2r
http://www.wikidata.org/entity/Q1537653,Ho-Chunk,/m/033fjj
http://www.wikidata.org/entity/Q1749358,Lithuanian American,/m/0ffkb4
http://www.wikidata.org/entity/Q1996554,Kashmiri Pandit,/m/023mqw
http://www.wikidata.org/entity/Q2556103,Pashtuns,/m/09743
http://www.wikidata.org/entity/Q2598589,Armenians of Russia,/m/0c_lbq
http://www.wikidata.org/entity/Q2658204,British Chinese,/m/04mmhj
http://www.wikidata.org/entity/Q2996826,Venezuelans,/m/05qb937
http://www.wikidata.org/entity/Q3072663,Finnish Americans,/m/03pqwy
http://www.wikidata.org/entity/Q3239254,Khatri,/m/03fvrb
http://www.wikidata.org/entity/Q3531196,Gaud Saraswat Brahmin,/m/0d9q7j
http://www.wikidata.org/entity/Q3573855,Castilians,/m/02pzb09
http://www.wikidata.org/entity/Q3595742,Agrawal,/m/07n8wy
http://www.wikidata.org/entity/Q4115874,culture of Palestine,/m/05sng
http://www.wikidata.org/entity/Q4970177,British Jamaicans,/m/02r3wfk
